FFFS_V9,FFFS_V39,FFFS_V45,FFFS_V46,FFFS_V48,FFFS_V52,FFFS_V58,FFFS_V59,BIS_V1,BIS_V2,BIS_V6,BIS_V10,BIS_V17,BIS_V18,BIS_V21,BIS_V29,BIS_V33,BIS_V43,BIS_V47,BIS_V50,BIS_V56,BIS_V57,BIS_V60,BIS_V61,BIS_V63,RI_V14,RI_V15,RI_V32,RI_V35,GDP_V5,GDP_V12,GDP_V20,GDP_V31,GDP_V41,GDP_V54,GDP_V65,RR_V4,RR_V8,RR_V16,RR_V23,RR_V25,RR_V30,RR_V36,RR_V37,I_V22,I_V27,I_V28,I_V38,I_V40,I_V44,I_V51
1,1,3,4,2,4,4,3,4,2,1,3,2,1,3,1,3,3,3,3,4,3,4,3,3,2,1,1,2,4,4,4,4,4,3,4,3,1,2,1,3,1,2,2,2,1,1,2,2,2,2
4,3,4,2,1,3,3,3,2,1,1,1,2,2,1,2,4,3,3,2,2,2,4,2,2,3,2,2,4,4,3,3,4,3,3,3,2,3,3,3,3,3,2,3,1,2,2,2,1,2,4
2,2,3,2,1,3,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,2,2,3,4,4,3,3,2,2,3,3,2,3,1,4,2,2,2,1,2,3,1,1,3,3
1,2,2,1,2,2,1,1,2,2,1,1,3,3,2,3,2,3,2,3,3,2,2,2,2,2,2,2,3,4,4,3,4,3,4,3,3,4,4,3,4,3,3,3,3,4,3,2,2,2,4
1,2,2,1,2,2,1,2,2,1,3,1,1,2,2,3,3,3,2,3,2,2,2,3,3,2,1,1,3,3,3,1,3,3,3,2,1,2,2,2,3,3,2,2,1,1,1,2,3,2,1
1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,3,2,3,2,2,1,2,1,2,1,2,2,2,1,3,2,3,2,2,4,4
2,1,3,2,1,2,1,2,3,1,1,2,3,3,1,1,1,3,1,2,1,1,1,1,2,3,2,4,3,4,4,4,4,4,3,4,3,2,3,2,4,3,3,4,1,2,1,2,3,2,4
1,1,4,3,1,1,1,1,2,2,4,2,3,2,2,3,3,4,3,4,4,1,2,2,2,1,1,1,2,4,4,3,4,3,4,4,1,2,2,1,2,2,3,2,3,2,1,1,1,2,2
1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,4,4,3,3,3,2,2,2,2,3,1,3,2,2,2,1,1,2,2,1,3,3
1,2,1,1,2,2,1,3,3,1,1,1,4,3,1,2,3,3,2,2,3,2,2,2,2,2,3,2,4,3,4,2,3,2,3,3,2,3,3,3,4,3,3,3,2,1,3,3,2,2,3
3,3,3,1,1,2,1,1,3,1,1,2,3,4,1,2,2,4,3,3,2,2,4,2,2,2,1,1,2,4,4,3,4,4,2,4,3,2,3,2,4,4,4,4,1,1,2,2,3,3,4
4,3,3,2,4,4,1,4,2,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,3,4,4,2,4,4,3,3,2,1,3,2,3,2,3,2,3,2,2,2,1,1,4
2,1,1,1,1,1,2,1,2,1,2,2,4,3,1,1,2,3,2,2,2,2,2,1,4,2,2,2,3,4,4,2,4,4,3,3,2,4,2,1,3,1,2,1,1,1,1,1,1,1,2
1,2,4,1,3,1,2,3,2,3,2,1,2,3,2,3,2,3,3,3,2,2,3,3,3,3,2,2,4,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,2
1,2,2,2,3,2,3,4,1,1,2,1,2,1,1,1,1,3,2,3,2,2,2,2,2,1,3,2,3,2,4,2,4,2,3,2,1,2,3,2,3,3,3,3,2,1,2,2,2,4,4
2,2,2,2,2,2,4,4,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,3,2,2,3,3,2,4,2,3,2,3,2,3,2,2,3,3,2,3,4,3
1,2,3,1,1,2,2,1,3,3,3,2,2,2,2,3,4,3,3,3,3,3,1,3,3,2,2,1,3,3,4,3,4,4,4,4,2,2,3,1,3,4,4,3,1,2,3,3,2,4,4
2,4,4,3,4,3,3,2,2,2,3,2,4,3,2,3,3,3,3,4,3,3,3,3,3,2,3,2,3,3,3,2,3,2,4,2,2,2,3,2,4,3,2,2,2,2,2,2,3,3,3
2,3,4,1,3,4,1,1,2,2,4,2,3,3,2,2,1,3,1,3,1,1,1,1,1,1,2,2,3,4,4,3,4,4,4,4,3,2,2,1,3,3,4,4,1,3,3,3,1,2,4
2,3,2,1,2,1,1,1,2,2,2,1,3,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,4,4,4,3,4,4,3,2,3,3,3,3,3,4,4,4,2,1,2,3,1,2,1
4,4,4,2,4,3,1,1,2,1,1,2,2,2,1,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,4,2,3,2,3,3,1,3,3,3,3,3,4,3,2,4,3,3,2,3,4
2,2,4,2,2,2,4,2,3,2,1,3,2,1,2,1,3,4,3,3,2,2,2,2,3,3,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,3,2,1,3,3,3,1,2,4
1,1,2,1,1,3,2,1,2,2,1,2,1,2,2,1,2,3,2,2,2,2,1,1,3,3,2,2,2,3,3,2,2,2,2,2,3,1,3,3,4,3,3,4,2,3,2,2,1,4,3
1,4,4,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,3,4,3,4,3,4,3,2,3,1,2,2,3,2,2,3,2,1,1,2,3,2,3,4
4,2,3,2,3,3,4,3,2,1,2,3,4,4,1,3,2,4,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,2,3,2,2,2,3,3,4,3,3,3,3,2,2,2,2,3,3
1,3,3,2,2,2,4,2,3,3,3,1,2,2,1,4,3,3,3,4,4,2,1,4,4,2,2,2,3,3,3,3,3,3,3,3,2,1,3,1,3,3,3,2,3,1,2,2,2,3,3
1,2,4,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,2,1,2,3,4,4,2,3,3,3,3,1,2,4,1,4,2,2,2,1,2,1,3,2,3,3
4,2,4,4,2,2,4,2,2,1,1,1,2,2,1,1,1,4,1,2,2,1,1,1,2,2,2,2,3,2,4,2,4,2,1,3,2,1,3,2,2,1,2,2,2,3,2,1,2,2,1
3,4,4,2,2,2,2,1,1,1,1,1,2,1,1,3,2,4,2,1,1,1,1,1,2,3,3,2,3,4,4,4,4,4,4,4,2,1,3,4,3,3,4,4,2,2,2,3,2,3,4
1,2,3,1,3,2,2,1,2,2,2,1,2,2,1,2,2,3,2,2,2,1,1,2,2,3,2,4,3,3,4,2,4,3,3,3,1,1,4,3,4,3,4,4,1,3,2,3,2,2,3
3,3,4,4,3,3,1,2,3,1,2,2,4,4,1,1,2,4,4,3,3,3,2,3,3,2,2,3,4,3,4,3,4,3,2,3,3,1,4,2,4,3,3,3,1,1,1,3,4,4,3
1,3,2,2,3,1,1,2,4,2,1,2,3,2,1,2,2,3,1,3,2,2,2,2,2,4,2,3,4,4,4,3,4,4,2,2,2,2,4,1,3,2,2,2,2,1,2,2,2,3,4
2,2,2,2,2,4,1,2,2,2,3,1,3,2,1,2,2,2,2,3,2,1,1,2,2,1,2,2,2,2,2,2,2,2,4,3,2,1,3,2,3,2,3,3,2,3,3,3,2,2,3
3,3,4,3,4,2,2,4,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,1,3,4,4,2,4,3,3,4,2,2,3,1,2,2,2,2,2,2,2,1,2,4,3
1,4,4,3,3,2,1,4,3,1,3,2,4,3,2,2,4,4,4,4,4,4,4,4,3,2,2,3,3,4,4,4,4,4,4,4,3,2,4,3,4,3,4,4,2,2,1,1,3,1,2
2,4,4,3,2,2,1,2,2,2,2,2,4,3,2,2,1,4,3,4,3,2,3,2,4,4,3,4,4,4,3,3,4,3,2,3,3,1,4,4,3,3,4,3,4,2,2,4,2,3,2
2,4,3,2,4,4,4,1,2,3,3,1,4,3,2,4,3,4,4,4,4,3,3,3,3,2,3,2,2,4,4,2,4,3,4,4,2,1,4,1,3,2,3,2,1,2,1,1,2,1,2
4,3,3,2,1,2,4,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,4,3,2,4,4,4,3,2,2,3,1,4,3,3,2,3,3,2,3,4,4,3
1,2,3,1,1,2,2,1,2,1,3,1,1,2,2,2,3,3,3,3,2,2,2,2,2,2,1,2,3,2,3,2,1,1,3,2,2,2,4,1,2,3,2,2,2,2,2,2,1,4,4
4,4,4,3,4,4,4,1,2,1,2,1,2,3,1,1,2,2,2,4,4,2,2,3,3,3,2,3,2,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4,4
2,3,4,4,4,3,1,1,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,3,2,1,2,2,2,2,3,2,2,3,3,3,4,4,3,3,3,4,3,3,3,3,4
1,4,4,1,3,2,1,2,2,1,2,3,3,3,1,1,1,2,1,2,2,2,2,2,3,3,4,3,4,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,4,4,3,4,1,4,4
3,3,3,3,3,3,2,3,3,3,2,3,3,3,1,3,2,2,3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,1,3,2,3,2,1,2,3,3,3,4,3
1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,3,2,3,2,2,2,2,2,2,1,3,1,2,2,2,2,1,2,1,2,1,3,2
1,1,2,2,1,2,3,1,2,1,1,1,2,2,1,2,1,3,2,3,2,1,1,1,2,1,2,2,2,3,3,2,3,2,2,2,2,1,3,2,3,3,2,2,3,2,3,2,1,2,3
1,2,3,4,3,2,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,4,4,3,4,3,4,3,3,4,4,4,3,3,3,3,3,2,3,2,2,2,4
1,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,4,4,3,4,4,4,4,3,1,2,2,4,3,3,3,1,1,1,3,2,1,2
1,2,4,2,1,2,1,1,1,1,1,1,2,2,1,1,1,3,1,3,2,1,1,1,2,4,2,3,3,3,4,3,4,3,3,3,2,3,3,3,3,2,4,3,2,2,3,4,2,4,3
4,4,4,4,4,4,1,2,4,3,2,4,3,3,2,2,4,4,4,3,3,2,4,3,3,3,3,3,4,3,4,4,4,3,4,3,2,1,4,3,4,2,4,3,2,3,3,3,3,2,2
2,1,3,2,1,2,2,1,1,2,2,3,1,2,2,3,3,3,2,3,2,1,3,1,3,2,2,2,2,3,3,2,3,2,3,2,2,1,2,1,2,3,2,2,1,3,2,2,1,1,4
1,1,4,3,2,1,1,1,3,3,4,1,3,3,3,3,4,3,4,3,4,1,2,2,2,3,2,3,2,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,2,3,4,2,4,3
1,2,3,3,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,4,3,3,3,4,2,3,2,2,3,2,3,3,2,2,1,1,2,3,2,3,3
1,1,3,2,2,1,1,4,2,2,2,2,2,1,1,2,3,2,3,2,1,1,1,1,2,2,2,2,2,4,4,3,4,4,4,4,2,2,4,1,2,3,2,3,2,2,2,2,1,1,1
1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,2,3,3,3,3,2,1,2,1,3,1,1,2,2,1,2,1,2,3,3
1,2,4,1,2,3,2,3,2,2,3,4,2,2,1,3,3,4,4,3,3,3,4,3,4,2,1,3,3,3,3,1,4,4,2,4,2,1,4,2,3,4,3,2,3,2,3,3,4,4,2
1,3,1,1,4,3,1,4,4,3,3,2,3,1,3,2,4,2,4,3,3,1,4,1,2,2,4,2,2,2,3,3,3,3,3,3,2,1,2,2,3,2,2,2,4,2,1,2,1,1,4
1,3,3,2,1,2,2,2,4,3,3,4,4,3,3,3,3,4,4,4,3,4,2,3,4,3,2,2,3,4,4,3,4,3,3,3,2,1,3,1,3,2,2,2,3,1,2,1,1,2,2
3,1,2,3,1,2,4,1,3,4,2,4,4,4,4,3,4,4,4,4,4,4,2,4,1,2,1,2,3,2,3,2,3,1,3,2,4,2,4,2,4,3,4,3,2,1,1,2,1,1,4
2,4,4,1,4,2,2,4,3,2,4,4,3,4,1,2,4,4,4,4,3,1,2,1,3,3,2,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,2,3,1,2,1,2,3
1,2,4,2,2,2,1,1,2,2,2,1,2,2,2,3,1,2,2,2,3,2,2,2,2,2,3,2,4,2,4,2,3,3,2,2,2,1,3,2,4,4,4,4,3,4,4,3,2,4,3
1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,2,3,2,3,3,3,2,3,3,2,2,3,1,3,3,4,3,2,2,2,2,2,4,3
1,2,2,4,1,2,1,1,2,1,2,3,1,2,1,1,1,3,1,3,2,2,4,2,1,2,3,2,3,3,3,3,4,4,1,2,3,3,4,4,3,3,1,3,3,3,4,3,1,4,3
1,2,1,1,1,1,1,4,1,1,2,2,1,2,1,1,1,2,1,3,1,1,1,1,2,4,4,4,4,4,4,4,4,4,3,3,1,2,3,2,2,4,3,2,1,1,2,2,1,2,3
2,2,4,1,2,4,4,2,2,1,2,1,4,3,1,2,2,3,4,4,4,2,3,2,3,3,2,2,2,3,3,3,3,3,4,4,2,2,3,3,3,4,2,3,2,4,2,3,3,3,4
2,3,3,3,2,4,4,2,3,1,2,2,3,3,1,2,2,4,2,2,2,2,2,2,2,3,3,4,3,3,4,3,4,4,3,3,3,3,3,2,2,3,3,4,3,2,3,4,4,4,1
4,1,1,2,1,3,4,1,1,1,2,1,3,2,1,2,2,2,2,2,2,1,2,2,3,1,1,2,3,2,3,2,3,2,3,3,2,1,2,2,3,2,3,3,2,1,2,2,1,3,2
1,2,2,1,1,1,1,1,2,2,3,3,3,3,2,1,2,4,2,3,3,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,2,1,1,3,1,3,4
1,2,1,1,1,2,2,1,2,2,2,2,3,4,2,3,2,4,3,4,3,3,2,2,2,2,2,2,3,4,4,3,3,4,3,3,1,2,3,2,3,2,3,3,3,3,3,3,3,4,2
1,3,3,1,2,1,1,1,2,1,2,1,3,2,1,3,1,2,2,2,2,2,3,2,2,2,2,2,3,4,4,3,4,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2
1,2,2,1,1,2,1,2,1,1,1,1,2,3,1,1,2,4,1,3,2,1,1,1,2,2,3,3,4,4,4,3,4,3,3,3,1,3,4,3,4,3,3,3,3,2,2,3,1,3,3
2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,4,4,2,4,3,4,3,4,2,2,1,2,3,2,2,2,2,3,2,2,1,3,2,3,2,2,2,3,3,2,1,2,1,3
1,1,2,2,2,1,2,1,4,2,2,1,1,2,1,3,2,3,3,4,2,1,3,2,2,1,1,1,2,2,2,1,2,1,1,2,3,2,1,1,3,2,2,2,2,1,1,1,1,3,3
1,1,4,4,3,4,1,4,4,3,1,4,4,4,2,1,4,1,3,4,4,1,1,1,4,1,1,2,1,4,4,4,4,4,4,4,1,2,3,1,3,1,3,2,1,1,1,1,1,1,3
4,3,4,3,3,4,4,3,4,4,3,2,4,4,3,3,4,4,4,4,4,4,3,4,4,1,2,2,3,3,3,2,3,3,4,2,3,2,3,2,4,3,3,3,2,3,2,2,2,2,2
2,3,4,3,2,2,2,3,2,2,3,2,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,3,3,2,2,2,2,2,3,3,3,3
2,3,4,3,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,3,4,4,2,4,3,3,3,2,1,3,1,3,3,3,2,2,1,1,2,3,2,3
1,2,4,2,2,2,1,1,2,1,2,1,2,3,2,2,2,2,2,3,2,2,1,1,2,2,2,2,3,3,3,2,4,3,3,3,1,2,2,2,2,2,2,3,2,1,2,2,3,4,3
3,3,3,4,4,2,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,1,2,2,4,2
3,2,4,2,2,3,3,2,2,2,4,4,2,4,3,3,3,3,4,3,4,1,4,3,2,2,3,2,3,4,4,3,4,4,4,4,1,3,4,4,4,3,4,4,3,2,1,4,3,1,3
1,2,3,4,1,2,2,3,2,1,2,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,1,2,2,3,3
3,3,4,1,4,3,3,4,3,4,1,1,4,2,2,4,4,2,4,4,3,2,1,3,3,4,2,2,3,4,4,3,4,3,3,2,2,3,4,2,3,3,2,3,4,4,4,4,2,4,4
1,2,2,1,1,1,1,2,2,2,3,2,2,3,1,4,4,4,2,3,3,1,1,2,2,4,4,4,4,3,3,3,3,3,1,3,2,3,3,2,4,3,2,2,4,4,4,4,1,3,3
2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,2,3,2,1,2,1,2,4,3,3,3,3,3,4,2,2,2,1,3,3,3,3,3,2,2,3,1,1,4
1,3,3,1,1,3,1,2,2,1,2,1,2,3,1,1,2,2,1,2,2,1,3,1,2,3,3,3,3,2,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,3
1,3,3,2,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,3,2,3,3,4,3,4,3,3,2,1,2,3,1,3,2,3,3,1,1,2,2,3,2,3
1,3,2,4,2,2,2,4,2,1,3,2,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,4,3,4,3,4,3,3,2,2,2,3,2,2,3,2,1,2,2,2,2,3
1,1,2,1,1,4,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,4,4,2,3,3,4,4,3,3,3,4,4,3,3,2,3,4,3,2,3,1,3,3,2,3,2,4
3,2,4,4,2,2,3,1,3,1,2,3,3,1,2,2,2,3,4,2,3,2,2,1,4,3,1,3,3,4,4,2,4,3,2,3,1,1,3,2,4,4,3,3,4,4,4,4,4,3,3
1,2,4,3,3,3,3,4,3,1,3,2,3,3,1,3,3,3,3,3,3,2,2,2,4,1,2,2,2,3,3,2,4,3,3,3,2,1,3,3,3,4,2,2,4,4,2,2,4,4,4
1,4,4,4,1,4,1,4,3,3,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,1,4,1,4,4,4,3,3,4,4,4,3,2,4,1,4,3,4,3,4,4,4,2,4,4,4
1,3,3,1,2,1,2,2,3,3,3,3,4,4,2,4,3,3,3,4,4,2,3,3,3,1,2,1,2,2,3,2,3,2,3,2,1,2,4,2,2,3,3,3,1,4,2,3,1,2,2
2,4,4,3,3,2,3,2,3,3,3,3,4,3,1,4,3,3,4,3,3,2,3,3,3,2,2,2,2,3,4,2,3,3,3,3,3,2,3,2,4,3,3,3,2,2,1,2,3,3,3
2,4,3,2,2,1,4,4,3,2,1,2,1,2,2,1,2,1,2,2,2,3,2,2,3,2,2,2,2,4,4,4,4,4,2,4,1,2,4,1,4,2,3,2,2,1,2,3,2,2,3
1,2,2,3,1,2,1,4,2,4,4,1,3,2,2,2,3,4,2,3,3,2,2,2,1,2,2,2,4,3,2,2,2,2,1,1,2,2,2,3,3,3,3,3,2,2,1,4,4,4,4
1,1,1,1,1,1,1,2,3,1,3,3,3,3,1,1,3,3,2,3,3,1,2,2,1,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,1,2,3,2,2,3
1,2,1,3,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,2,2,1,2,3,3,3,1,3,3,3,2,3,2,3,1,3,3,2,3,1,1,2,2,2,3,3
4,3,3,3,1,2,2,1,2,2,1,2,4,3,1,2,2,3,2,3,3,3,1,1,1,3,2,3,3,3,3,2,3,3,3,3,2,2,3,2,3,3,3,3,1,2,2,3,1,4,3
1,2,2,2,3,1,1,2,2,2,2,1,2,2,1,2,2,1,2,3,3,2,3,2,3,1,1,2,2,2,2,2,1,2,1,1,1,1,3,2,4,1,3,2,3,1,2,2,3,3,2
1,2,2,1,3,2,1,3,3,4,4,4,4,4,4,3,3,3,2,4,4,2,3,4,2,2,2,2,2,4,3,4,4,4,4,4,2,3,3,2,4,3,3,3,3,1,2,2,2,1,1
2,3,3,4,3,2,3,2,3,2,2,1,2,4,2,2,1,2,3,2,3,1,2,2,3,2,2,2,4,4,4,2,3,3,4,3,1,1,3,1,2,3,3,2,1,2,1,2,1,2,3
1,2,3,3,1,3,2,3,1,1,2,1,2,2,1,3,1,3,2,2,3,2,3,2,2,1,2,1,2,2,3,2,2,2,2,2,1,1,2,3,2,2,2,2,3,3,2,2,3,2,3
2,2,2,2,3,2,2,2,3,4,4,4,4,4,3,3,3,4,4,3,4,3,4,3,3,2,1,2,2,3,3,2,2,2,3,2,2,2,2,2,2,1,2,2,4,1,1,1,1,1,1
1,1,2,1,1,3,1,3,4,3,4,3,4,3,3,4,1,4,3,1,4,4,2,3,3,4,3,3,4,3,4,3,4,4,3,3,3,2,4,3,4,4,3,3,3,4,4,3,4,4,4
4,4,4,4,2,1,4,4,4,2,3,3,4,4,1,1,3,4,4,3,4,4,3,3,3,3,2,2,4,4,4,4,4,4,3,3,1,1,3,2,3,1,3,3,3,1,1,1,1,1,2
2,2,4,2,2,4,2,1,2,2,1,3,2,2,1,2,2,3,1,3,2,1,1,2,2,2,2,3,3,3,3,3,3,3,2,2,1,3,3,2,3,3,3,3,2,3,3,3,2,4,4
1,4,4,2,2,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,2,2,1,2,2,4,2,3,4,3,4,4,3,3,3,4,2,2,2,1,4,3,4,3,2,2,2,3,3,4,3
1,2,4,3,2,4,1,1,3,4,4,1,4,2,3,3,4,3,4,4,3,3,1,4,4,4,3,3,3,3,3,3,3,4,3,3,3,1,3,3,3,4,2,2,3,2,2,3,3,3,3
4,2,2,1,2,2,4,3,2,1,1,2,2,3,1,1,2,3,1,2,3,1,1,1,2,2,3,3,3,4,4,4,4,4,4,3,2,1,4,3,4,4,3,3,3,1,2,2,2,4,3
1,1,2,2,2,1,4,3,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,4,4,3,4,4,4,4,2,1,3,1,3,2,3,2,1,1,2,2,2,2,3
2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,4,2,3,2,2,3,2,2,3,2,3,2,4,2,2,1,2,2,3,3,3
1,1,2,3,1,1,2,4,2,1,3,3,3,3,1,4,1,3,2,3,3,1,2,1,2,2,1,1,2,3,3,3,3,2,3,3,3,2,3,3,4,2,3,2,4,4,4,3,3,2,3
1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,2,3,4,4,3,4,4,4,3,1,1,2,1,3,1,2,2,2,2,2,3,1,3,3
1,2,2,2,1,1,1,3,2,2,2,3,3,2,3,2,3,3,3,3,3,2,4,2,3,2,3,2,3,3,3,2,3,3,3,3,2,2,2,1,3,3,2,3,2,1,3,2,3,3,4
3,2,1,4,3,1,3,2,3,1,1,1,2,2,1,2,2,3,2,2,1,2,2,1,2,1,1,1,3,2,3,2,3,2,3,3,3,2,2,2,3,3,3,3,2,2,2,1,1,3,3
2,3,4,2,3,2,2,4,2,3,3,4,3,3,1,3,2,4,2,3,3,3,2,3,3,3,3,4,3,4,4,3,4,3,4,3,2,2,4,2,4,4,4,3,3,3,4,3,2,1,1
1,3,4,3,2,4,2,3,2,2,1,1,3,3,1,1,2,4,3,2,3,2,2,2,4,3,2,2,2,4,4,3,4,4,2,4,2,1,4,2,3,2,3,2,4,4,2,2,2,3,4
2,4,4,4,4,3,4,3,2,1,1,1,3,3,1,2,1,4,4,2,4,1,3,1,3,2,1,2,4,3,2,3,4,3,4,3,4,1,4,2,4,4,3,4,2,2,1,2,3,2,3
1,2,2,3,1,2,2,3,2,2,2,2,1,1,3,2,3,3,3,3,2,1,2,2,2,2,2,2,3,3,4,3,4,3,3,3,2,2,3,2,2,2,1,2,2,1,2,2,2,3,1
